container_id,ship_date,delivery_date,producer,producer_type,container_type,container_qty,origin,destination,freight_index,base_price,priority,status,
CS17_001,15/01/2017,20/01/2017,ShipEasy,Forwarder,40 ft HC CW,3,Shanghai,Los Angeles,921.96,1372.06,HIGH,In_Transit,
CS17_002,16/01/2017,22/01/2017,Global Shipping,Agent,40 ft HC CW,4,Rotterdam,Singapore,976.38,1453.05,Medium,Delivered,
CS17_003,16/01/2017,25/01/2017,Ocean Wave,Broker,40 ft HC CW,5,Dubai,Hamburg,964.47,1435.34,Low,Completed,
CS17_004,12/2/2017,17/02/2017,Cargo Masters,Direct,40 ft HC CW,2,Shanghai,Los Angeles,798.8,1501.24,HIGH,Processing,
CS17_005,15/02/2017,20/02/2017,Sea Transit,Carrier,40 ft HC CW,4,Dubai,Hamburg,831.4,1518.74,Medium,Delivered,
CS17_006,10/3/2017,15/03/2017,ShipEasy,Partner,40 ft HC CW,3,Rotterdam,Singapore,815.42,1723.88,Low,Completed,
CS17_007,15/03/2017,20/03/2017,Global Shipping,Forwarder,40 ft HC CW,5,Shanghai,Los Angeles,844.62,1806.48,HIGH,In_Transit,
CS17_008,5/4/2017,10/4/2017,Ocean Wave,Broker,40 ft HC CW,4,Rotterdam,Singapore,927.44,1930.78,Medium,In_Transit,
CS17_009,12/4/2017,17/04/2017,Cargo Masters,Agent,40 ft HC CW,6,Dubai,Hamburg,891.06,1855.06,Low,Processing,
CS17_010,5/5/2017,10/5/2017,Sea Transit,Direct,40 ft HC CW,5,Shanghai,Los Angeles,836.36,1816.44,HIGH,Completed,
CS17_011,15/05/2017,20/05/2017,ShipEasy,Partner,40 ft HC CW,3,Rotterdam,Singapore,870.5,1890.58,Medium,In_Transit,
CS17_012,25/05/2017,30/05/2017,Global Shipping,Carrier,40 ft HC CW,4,Dubai,Hamburg,853.43,1853.51,Low,Delivered,
CS17_013,8/6/2017,13/06/2017,Ocean Wave,Forwarder,40 ft HC CW,4,Shanghai,Los Angeles,900.45,1801.35,HIGH,Completed,
CS17_014,18/06/2017,23/06/2017,Cargo Masters,Broker,40 ft HC CW,2,Rotterdam,Singapore,937.21,1874.87,Medium,Processing,
CS17_015,15/07/2017,20/07/2017,Sea Transit,Agent,40 ft HC CW,4,Dubai,Hamburg,907.94,1908.93,Low,Delivered,
CS17_016,25/07/2017,30/07/2017,ShipEasy,Direct,40 ft HC CW,5,Shanghai,Los Angeles,942.96,1986.85,Medium,Completed,
CS17_017,8/8/2017,13/08/2017,Global Shipping,Partner,40 ft HC CW,3,Rotterdam,Singapore,701.65,2029.38,HIGH,In_Transit,
CS17_018,18/08/2017,23/08/2017,Ocean Wave,Forwarder,40 ft HC CW,4,Dubai,Hamburg,730.29,2112.22,Low,In_Transit,
CS17_019,5/9/2017,10/9/2017,Cargo Masters,Broker,40 ft HC CW,5,Shanghai,Los Angeles,790.67,2336.18,Medium,Processing,
CS17_020,15/09/2017,20/09/2017,Sea Transit,Agent,40 ft HC CW,3,Rotterdam,Singapore,822.95,2433.58,HIGH,Completed,
CS17_021,18/10/2017,23/10/2017,ShipEasy,Direct,40 ft HC CW,5,Dubai,Hamburg,691.09,2109.59,Low,In_Transit,
CS17_022,28/10/2017,2/11/2017,Global Shipping,Carrier,40 ft HC CW,4,Shanghai,Los Angeles,719.29,2195.69,Medium,Delivered,
CS17_023,5/11/2017,10/11/2017,Ocean Wave,Partner,40 ft HC CW,4,Rotterdam,Singapore,807.7,2129.72,HIGH,Completed,
CS17_024,15/11/2017,20/11/2017,Cargo Masters,Forwarder,40 ft HC CW,3,Dubai,Hamburg,840.66,2216.64,Low,Processing,
CS17_025,8/12/2017,13/12/2017,Sea Transit,Broker,40 ft HC CW,3,Shanghai,Los Angeles,807.7,2407.62,Medium,Delivered,
CS17_026,18/12/2017,23/12/2017,ShipEasy,Agent,40 ft HC CW,4,Rotterdam,Singapore,840.66,2505.89,HIGH,Completed,
