container_id,ship_date,delivery_date,producer,producer_type,container_type,container_qty,origin,destination,freight_index,base_price,priority,status,,,,,,,,,,,,
CS18_001,12/1/2018,17/01/2018,Global Shipping,Direct,40 ft HC CW,4,Dubai,Hamburg,841.43,2420.84,Low,In_Transit,,,,,,,,,,,,
CS18_002,22/01/2018,27/01/2018,Ocean Wave,Partner,40 ft HC CW,4,Shanghai,Los Angeles,875.77,2420.84,Medium,In_Transit,,,,,,,,,,,,
CS18_003,5/2/2018,10/2/2018,Cargo Masters,Carrier,40 ft HC CW,3,Rotterdam,Singapore,837.11,2335.61,HIGH,Processing,,,,,,,,,,,,
CS18_004,15/02/2018,20/02/2018,Sea Transit,Forwarder,40 ft HC CW,5,Dubai,Hamburg,871.27,2335.61,Low,Completed,,,,,,,,,,,,
CS18_005,28/02/2018,5/3/2018,ShipEasy,Forwarder,40 ft HC CW,5,Shanghai,Los Angeles,854.19,2335.61,HIGH,Processing,,,,,,,,,,,,
CS18_006,3/3/2018,8/3/2018,ShipEasy,Broker,40 ft HC CW,2,Shanghai,Los Angeles,645.51,2331.98,Medium,In_Transit,,,,,,,,,,,,
CS18_007,13/03/2018,18/03/2018,Global Shipping,Agent,40 ft HC CW,3,Rotterdam,Singapore,671.85,2331.98,HIGH,Delivered,,,,,,,,,,,,
CS18_008,24/04/2018,29/04/2018,Ocean Wave,Direct,40 ft HC CW,1,Dubai,Hamburg,745.46,2392.02,Low,Completed,,,,,,,,,,,,
CS18_009,12/4/2018,17/04/2018,Global Shipping,Agent,40 ft HC CW,4,Rotterdam,Singapore,775.88,2392.02,HIGH,In_Transit,,,,,,,,,,,,
CS18_010,25/04/2018,30/04/2018,Ocean Wave,Broker,40 ft HC CW,5,Dubai,Hamburg,760.67,2392.02,Medium,Processing,,,,,,,,,,,,
CS18_011,4/5/2018,9/5/2018,Cargo Masters,Partner,40 ft HC CW,2,Shanghai,Los Angeles,749.05,2444.68,Medium,Processing,,,,,,,,,,,,
CS18_012,14/05/2018,19/05/2018,Sea Transit,Carrier,40 ft HC CW,1,Rotterdam,Singapore,779.63,2444.68,HIGH,Delivered,,,,,,,,,,,,
CS18_013,25/06/2018,30/06/2018,ShipEasy,Forwarder,40 ft HC CW,4,Dubai,Hamburg,804.75,2534.68,Low,Completed,,,,,,,,,,,,
CS18_014,18/06/2018,23/06/2018,Cargo Masters,Direct,40 ft HC CW,2,Shanghai,Los Angeles,837.61,2534.68,Medium,In_Transit,,,,,,,,,,,,
CS18_015,28/06/2018,3/7/2018,Sea Transit,Carrier,40 ft HC CW,5,Rotterdam,Singapore,821.18,2534.68,HIGH,Processing,,,,,,,,,,,,
CS18_016,5/7/2018,10/7/2018,Global Shipping,Broker,40 ft HC CW,2,Shanghai,Los Angeles,851.22,2306.63,Medium,In_Transit,,,,,,,,,,,,
CS18_017,15/07/2018,20/07/2018,Ocean Wave,Agent,40 ft HC CW,4,Rotterdam,Singapore,885.96,2306.63,HIGH,In_Transit,,,,,,,,,,,,
CS18_018,8/8/2018,13/08/2018,Cargo Masters,Direct,40 ft HC CW,3,Dubai,Hamburg,920.69,2223.22,Low,Processing,,,,,,,,,,,,
CS18_019,18/08/2018,23/08/2018,Sea Transit,Partner,40 ft HC CW,1,Shanghai,Los Angeles,958.27,2223.22,Medium,Completed,,,,,,,,,,,,
CS18_020,28/08/2018,2/9/2018,ShipEasy,Partner,40 ft HC CW,5,Shanghai,Los Angeles,939.48,2223.22,HIGH,Processing,,,,,,,,,,,,
CS18_021,28/09/2018,3/9/2018,ShipEasy,Carrier,40 ft HC CW,4,Rotterdam,Singapore,853.17,2271.45,HIGH,In_Transit,,,,,,,,,,,,
CS18_022,15/09/2018,20/09/2018,Global Shipping,Forwarder,40 ft HC CW,3,Dubai,Hamburg,887.99,2271.45,HIGH,In_Transit,,,,,,,,,,,,
CS18_023,8/10/2018,13/10/2018,Global Shipping,Forwarder,40 ft HC CW,1,Dubai,Hamburg,937.5,2397.73,Low,Delivered,,,,,,,,,,,,
CS18_024,18/10/2018,23/10/2018,Ocean Wave,Broker,40 ft HC CW,5,Shanghai,Los Angeles,975.76,2397.73,Medium,Completed,,,,,,,,,,,,
CS18_025,28/11/2018,3/11/2018,Cargo Masters,Agent,40 ft HC CW,3,Rotterdam,Singapore,872.6,2394.04,HIGH,Processing,,,,,,,,,,,,
CS18_026,8/11/2018,13/11/2018,Sea Transit,Direct,40 ft HC CW,5,Dubai,Hamburg,908.22,2394.04,Low,Delivered,,,,,,,,,,,,
CS18_027,18/12/2018,23/12/2018,ShipEasy,Partner,40 ft HC CW,2,Shanghai,Los Angeles,892.59,2545.57,Medium,Completed,,,,,,,,,,,,
CS18_028,18/12/2018,23/12/2018,Global Shipping,Partner,40 ft HC CW,3,Dubai,Hamburg,929.03,2545.57,Medium,Completed,,,,,,,,,,,,
CS18_029,28/12/2018,2/1/2019,Ocean Wave,Forwarder,40 ft HC CW,5,Shanghai,Los Angeles,910.81,2545.57,Medium,Processing,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
