container_id,ship_date,delivery_date,producer,producer_type,container_type,container_qty,origin,destination,freight_index,base_price,priority,status,,,
CS19_001,10/1/2019,15/01/2019,Global Shipping,Carrier,40 ft HC CW,4,Rotterdam,Singapore,926.53,2442.95,HIGH,In_Transit,,,
CS19_002,20/01/2019,25/01/2019,Ocean Wave,Forwarder,40 ft HC CW,4,Dubai,Hamburg,964.35,2442.95,Low,In_Transit,,,
CS19_003,5/2/2019,10/2/2019,Cargo Masters,Broker,40 ft HC CW,1,Shanghai,Los Angeles,830.8,2355.88,Medium,Processing,,,
CS19_004,15/02/2019,20/02/2019,Sea Transit,Agent,40 ft HC CW,1,Rotterdam,Singapore,864.7,2355.88,HIGH,Completed,,,
CS19_005,5/3/2019,10/3/2019,ShipEasy,Direct,40 ft HC CW,3,Dubai,Hamburg,777.62,2307.86,Low,In_Transit,,,
CS19_006,15/03/2019,20/03/2019,Global Shipping,Partner,40 ft HC CW,3,Shanghai,Los Angeles,809.36,2307.86,Medium,Delivered,,,
CS19_007,25/03/2019,30/03/2019,Cargo Masters,Broker,40 ft HC CW,5,Dubai,Hamburg,793.49,2307.86,Medium,Delivered,,,
CS19_008,8/4/2019,13/04/2019,Ocean Wave,Carrier,40 ft HC CW,2,Rotterdam,Singapore,762.44,2315.46,HIGH,Completed,,,
CS19_009,18/04/2019,23/04/2019,Cargo Masters,Forwarder,40 ft HC CW,5,Dubai,Hamburg,793.56,2315.46,Low,Processing,,,
CS19_010,5/5/2019,10/5/2019,Sea Transit,Broker,40 ft HC CW,4,Shanghai,Los Angeles,766.68,2411.14,Medium,Delivered,,,
CS19_011,15/05/2019,20/05/2019,ShipEasy,Agent,40 ft HC CW,1,Rotterdam,Singapore,797.56,2411.14,Medium,Completed,,,
CS19_012,28/06/2019,3/6/2019,Global Shipping,Direct,40 ft HC CW,3,Dubai,Hamburg,813.11,2143.9,HIGH,In_Transit,,,
CS19_013,8/6/2019,13/06/2019,Ocean Wave,Partner,40 ft HC CW,2,Shanghai,Los Angeles,846.29,2143.9,Low,In_Transit,,,
CS19_014,18/07/2019,23/07/2019,Cargo Masters,Carrier,40 ft HC CW,1,Rotterdam,Singapore,773.04,2247.81,Medium,Processing,,,
CS19_015,28/07/2019,2/8/2019,Sea Transit,Forwarder,40 ft HC CW,4,Dubai,Hamburg,804.82,2247.81,HIGH,Completed,,,
CS19_016,8/8/2019,13/08/2019,ShipEasy,Broker,40 ft HC CW,3,Shanghai,Los Angeles,803.26,2168.15,Low,In_Transit,,,
CS19_017,18/08/2019,23/08/2019,Global Shipping,Agent,40 ft HC CW,5,Rotterdam,Singapore,836.04,2168.15,Medium,Delivered,,,
CS19_018,15/09/2019,20/09/2019,Ocean Wave,Direct,40 ft HC CW,2,Dubai,Hamburg,708.44,2114.81,HIGH,Completed,,,
CS19_019,25/09/2019,30/09/2019,Cargo Masters,Partner,40 ft HC CW,1,Shanghai,Los Angeles,737.36,2114.81,Low,Processing,,,
CS19_020,5/10/2019,10/10/2019,Sea Transit,Carrier,40 ft HC CW,2,Rotterdam,Singapore,691.59,2042.28,Medium,Delivered,,,
CS19_021,15/10/2019,20/10/2019,ShipEasy,Forwarder,40 ft HC CW,3,Dubai,Hamburg,718.97,2042.28,HIGH,Completed,,,
CS19_022,5/11/2019,10/11/2019,Sea Transit,Agent,40 ft HC CW,3,Dubai,Hamburg,805.82,1990.81,Medium,In_Transit,,,
CS19_023,15/11/2019,20/11/2019,ShipEasy,Direct,40 ft HC CW,2,Shanghai,Los Angeles,833.44,1990.81,HIGH,Delivered,,,
CS19_024,8/12/2019,13/12/2019,Global Shipping,Partner,40 ft HC CW,3,Rotterdam,Singapore,939.4,1976.95,HIGH,In_Transit,,,
CS19_025,18/12/2019,23/12/2019,Ocean Wave,Carrier,40 ft HC CW,4,Dubai,Hamburg,977.74,1976.95,Medium,Completed,,,
